p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
volume_big40	30780_irnt	0.0296	0.0507	0.5831	0.5598	0.0801	0.0183	1.1609	0.117	-0.0099	0.0082
volume_big40	30870_irnt	-0.0155	0.0551	-0.2814	0.7784	0.1747	0.0212	1.1453	0.0629	-0.0035	0.0099
volume_big40	104910	0.156	0.2377	0.6562	0.5117	0.0082	0.0089	0.9996	0.0066	0.0006	0.0051
volume_big40	2443	0.1088	0.0435	2.5015	0.0124	0.0438	0.0027	1.0417	0.0106	-0.0017	0.0056
volume_big40	1160	0.0081	0.0523	0.1538	0.8777	0.0716	0.0033	1.0146	0.0094	-0.006	0.0072
volume_big40	4080_irnt	0.1591	0.0438	3.6305	0.0003	0.1446	0.0058	1.0684	0.0162	0.024	0.0082
volume_big40	1239	0.1763	0.0493	3.5792	0.0003	0.0533	0.0029	1.0151	0.0104	-0.0024	0.007
volume_big40	4079_irnt	0.1793	0.0444	4.0377	5.3976e-05	0.1338	0.0055	1.067	0.0154	0.0267	0.0081
volume_big40	6150_4	0.2441	0.0424	5.7551	8.6607e-09	0.1203	0.0051	1.067	0.0173	0.0167	0.0082
volume_big40	21001_irnt	0.0674	0.0358	1.8848	0.0595	0.2465	0.0089	1.064	0.0186	-0.0123	0.0081
volume_big40	30760_irnt	-0.0296	0.0287	-1.0307	0.3027	0.1916	0.0161	1.2758	0.0922	0.0018	0.0078
volume_big40	30740_irnt	0.0212	0.0386	0.5502	0.5822	0.0744	0.0095	1.0493	0.0194	0.0043	0.0059
